Driver,Trip,Time,Ax,Ay,Az,PitchRate,RollRate,YawRate,Pitch,Roll,Yaw,ImuTime
1,51,110,-0.6024811,0.06372591,9.84198,-0.3048702,-0.2374883,-0.1910306,-2.015001,-1.139143,175.2422,36.7261746717601
1,51,115,-0.5881521,0.06909689,9.831384,-0.3286275,-0.2012962,-0.1021769,-2.004179,-1.141257,175.2371,36.7761762419669
1,51,120,-0.5732757,0.06591158,9.807284,-0.3639521,-0.1484707,-0.01623752,-1.995543,-1.140992,175.2364,36.8261778121736
1,51,125,-0.5739094,0.05192031,9.807633,-0.4004425,-0.1956569,0.03035068,-1.988699,-1.143566,175.2381,36.8761793823804
1,51,130,-0.5945308,0.04146991,9.832932,-0.4235359,-0.2846418,-0.03468112,-1.982476,-1.150732,175.2365,36.9261809525871
1,51,135,-0.6170397,0.03958282,9.849882,-0.3671347,-0.2134657,-0.1016127,-1.972871,-1.154249,175.2315,36.9761825227938
1,51,140,-0.6281025,0.04939147,9.833312,-0.2318154,-0.1208026,-0.1254105,-1.9563,-1.152817,175.2252,37.0261840930006
1,51,145,-0.6405007,0.060404,9.811565,-0.1673118,-0.1573693,-0.1414248,-1.93628,-1.152875,175.2181,37.0761856632073
1,51,150,-0.6441554,0.06319343,9.810686,-0.1832688,-0.2064931,-0.2118327,-1.917118,-1.15518,175.2074,37.1261872334141
1,51,155,-0.5149255,0.06378916,9.815394,-0.3272946,-0.2389762,-0.2359007,-1.909008,-1.159037,175.1957,37.1761888036208
1,51,160,-0.1546213,0.06107029,9.807586,-0.577123,-0.1734034,-0.1998851,-1.923859,-1.159768,175.186,37.2261903738276
1,51,165,0.2850519,0.05751892,9.795976,-0.9567266,-0.08437616,-0.1816615,-1.97035,-1.156216,175.1776,37.2761919440343
1,51,170,0.561967,0.05422912,9.799974,-1.235829,-0.1150179,-0.1637701,-2.038553,-1.154332,175.1704,37.326193514241
1,51,175,0.5649417,0.04605174,9.826106,-1.194427,-0.2623434,-0.132836,-2.104385,-1.160056,175.1647,37.3761950844478
1,51,180,0.3851772,0.0434888,9.863243,-0.8547933,-0.2831298,-0.0891073,-2.14766,-1.166901,175.1609,37.4261966546545
1,51,185,0.1926149,0.05277709,9.874492,-0.3109091,-0.212755,0.01296547,-2.157927,-1.170101,175.1616,37.4761982248613
1,51,190,0.1133367,0.05850777,9.838571,0.08070571,-0.112018,-0.03955144,-2.146442,-1.168014,175.1592,37.526199795068
1,51,195,0.1453041,0.06399593,9.796113,0.1130759,-0.1041306,-0.1821487,-2.13453,-1.165143,175.1497,37.5762013652748
1,51,200,0.2150553,0.07468331,9.77916,-0.0696271,-0.2404602,-0.1805642,-2.133817,-1.168779,175.1404,37.6262029354815
1,51,205,0.251741,0.07584212,9.801707,-0.2830825,-0.2815509,-0.1536849,-2.144745,-1.17445,175.1327,37.6762045056883
1,51,210,0.2449621,0.05660469,9.832553,-0.2684571,-0.3152789,-0.152136,-2.15466,-1.182315,175.1251,37.726206075895
1,51,215,0.2264295,0.04024242,9.825765,-0.1263296,-0.357329,-0.08300302,-2.156849,-1.192838,175.1208,37.7762076461017
1,51,220,0.2179858,0.05002749,9.792842,-0.1582512,-0.2931472,-0.01485226,-2.160336,-1.199979,175.1199,37.8262092163085
1,51,225,0.2151067,0.06954213,9.790421,-0.2777136,-0.1884767,-0.04004635,-2.169693,-1.201265,175.1179,37.8762107865152
