Driver,Trip,Time,Ax,Ay,Az,PitchRate,RollRate,YawRate,Pitch,Roll,Yaw,ImuTime
5,27,120,-0.7561112,-2.461886,9.619677,-0.4398727,0.5286595,-22.32063,3.938547,-5.268289,141.6775,40.7836037467502
5,27,125,-0.7793247,-2.483426,9.679722,-0.9392125,0.918864,-22.30151,3.792567,-5.343638,140.5659,40.8336035351482
5,27,130,-0.7377208,-2.371333,9.720013,-1.381553,0.538754,-22.28167,3.623068,-5.430847,139.4581,40.8836033235462
5,27,135,-0.693499,-2.179265,9.744761,-1.350362,-0.06716634,-22.37743,3.452408,-5.538813,138.3464,40.9336031119442
5,27,140,-0.7052501,-2.065657,9.802989,-0.7786971,-0.3820228,-22.31997,3.309102,-5.655045,137.2357,40.9836029003421
5,27,145,-0.7653122,-2.047783,9.912924,-0.07847244,-0.4855534,-22.10784,3.20144,-5.772056,136.1327,41.0336026887401
5,27,150,-0.8336548,-2.087001,9.97463,0.5098341,-0.5292653,-21.68048,3.125233,-5.888853,135.0483,41.0836024771381
5,27,155,-0.9189014,-2.080213,9.98036,1.098545,-0.5312204,-21.22685,3.08116,-6.002702,133.9838,41.1336022655361
5,27,160,-1.033592,-1.983671,9.978956,1.626908,-0.6721796,-20.80755,3.066934,-6.118652,132.9377,41.1836020539341
5,27,165,-1.162907,-1.947494,10.014,1.996798,-0.4148995,-20.31958,3.075219,-6.218837,131.914,41.2336018423321
5,27,170,-1.254359,-2.004407,9.963616,2.281237,-0.1549436,-19.85687,3.101105,-6.306561,130.9118,41.2836016307301
5,27,175,-1.310739,-1.990627,9.775857,2.143576,-0.196695,-19.3908,3.123168,-6.395438,129.9335,41.3336014191281
5,27,180,-1.337557,-1.911515,9.620555,1.801269,-0.03333052,-19.228,3.128599,-6.473749,128.9653,41.383601207526
5,27,185,-1.337389,-1.844747,9.643557,1.676737,0.147277,-19.09798,3.127306,-6.540206,128.0045,41.433600995924
5,27,190,-1.288353,-1.79601,9.663536,1.778375,-0.2679017,-18.85354,3.129997,-6.624784,127.0554,41.483600784322
5,27,195,-1.165828,-1.78346,9.580519,1.921904,-0.8355048,-18.70932,3.135605,-6.736833,126.1126,41.53360057272
5,27,200,-0.9537852,-1.809288,9.575302,1.989045,-1.020344,-18.50826,3.13742,-6.857912,125.1795,41.583600361118
5,27,205,-0.7259095,-1.892208,9.719225,1.706463,-0.6186764,-18.33709,3.117332,-6.959819,124.2566,41.633600149516
5,27,210,-0.5596371,-2.033843,9.820722,1.363338,-0.1385856,-18.42854,3.073331,-7.04077,123.3311,41.683599937914
5,27,215,-0.4573129,-2.07386,9.829767,1.223573,0.005599384,-18.60419,3.017493,-7.114801,122.3978,41.733599726312
5,27,220,-0.3725063,-1.993358,9.792144,1.441933,-0.3655905,-18.83652,2.967772,-7.20438,121.4519,41.7835995147099
5,27,225,-0.3002402,-1.930512,9.721543,1.852466,-0.7589114,-19.16233,2.932902,-7.311698,120.4874,41.8335993031079
5,27,230,-0.2807141,-2.000177,9.690557,2.24533,-0.5685056,-19.31033,2.91412,-7.411191,119.5131,41.8835990915059
5,27,235,-0.306749,-2.182844,9.698231,2.658065,-0.1647205,-19.51724,2.913551,-7.495841,118.5256,41.9335988799039
5,27,240,-0.350574,-2.259359,9.690747,2.986395,-0.3540999,-19.78117,2.92749,-7.592654,117.5228,41.9835986683019
5,27,245,-0.3612745,-2.215435,9.645932,3.114584,-0.7675138,-20.21049,2.943458,-7.709949,116.4979,42.0335984566999
5,27,250,-0.3506883,-2.22264,9.59428,3.009503,-0.8043473,-20.78387,2.947764,-7.830635,115.4451,42.0835982450979
5,27,255,-0.3296655,-2.287573,9.526389,3.058492,-0.9223096,-21.26424,2.948441,-7.959939,114.3681,42.1335980334959
5,27,260,-0.3370039,-2.330612,9.495665,3.44476,-1.062901,-21.66691,2.963122,-8.098089,113.2684,42.1835978218938
5,27,265,-0.3690352,-2.376522,9.552344,3.81707,-0.8449787,-21.89055,2.992595,-8.226923,112.1549,42.2335976102918
5,27,270,-0.3912436,-2.374355,9.611098,4.051443,-0.5862318,-22.01933,3.030706,-8.343072,111.0332,42.2835973986898
5,27,275,-0.4038025,-2.320003,9.619994,4.145365,-0.2556039,-22.02127,3.071456,-8.441456,109.9107,42.3335971870878
5,27,280,-0.419875,-2.293919,9.610022,3.984067,0.07670192,-21.92933,3.103471,-8.522634,108.7939,42.3835969754858
5,27,285,-0.4419785,-2.281166,9.671763,3.78756,0.2359464,-21.98359,3.124402,-8.595454,107.6758,42.4335967638838
5,27,290,-0.4512306,-2.228834,9.746002,3.752229,-0.009570744,-22.01686,3.142101,-8.67864,106.5564,42.4835965522818
5,27,295,-0.4654932,-2.205884,9.718826,3.483443,0.1587267,-22.13375,3.144304,-8.753019,105.4333,42.5335963406798
5,27,300,-0.4782643,-2.340185,9.68467,2.988287,1.165056,-22.20065,3.120604,-8.780873,104.3105,42.5835961290777
5,27,305,-0.4698947,-2.483956,9.643199,2.624308,1.724141,-22.07957,3.079823,-8.783922,103.1962,42.6335959174757
5,27,310,-0.4534917,-2.448802,9.643573,2.198041,1.655437,-22.07304,3.018147,-8.788216,102.0857,42.6835957058737
5,27,315,-0.4308272,-2.289173,9.742928,1.670202,1.615824,-22.21341,2.928895,-8.788161,100.9726,42.7335954942717
5,27,320,-0.4007124,-2.19654,9.786379,1.14395,1.494122,-22.3519,2.812259,-8.789441,99.85694,42.7835952826697
5,27,325,-0.3785366,-2.245889,9.680816,0.6930785,0.6613007,-22.41564,2.673047,-8.831502,98.74171,42.8335950710677
5,27,330,-0.3509625,-2.247608,9.579976,0.3912671,-1.081027,-22.6146,2.516379,-8.957909,97.61932,42.8835948594657
5,27,335,-0.3055756,-2.128189,9.564226,0.5309769,-2.799811,-22.92223,2.360371,-9.163195,96.48142,42.9335946478637
5,27,340,-0.2965803,-2.159342,9.598475,0.9513499,-3.332672,-23.03736,2.219603,-9.391938,95.3353,42.9835944362617
5,27,345,-0.3509836,-2.443801,9.699775,1.405492,-2.780036,-22.95977,2.099036,-9.597071,94.18975,43.0335942246596
5,27,350,-0.3832843,-2.720383,9.773755,1.746235,-1.965937,-22.98387,1.992598,-9.766175,93.04047,43.0835940130576
5,27,355,-0.3953473,-2.77457,9.851531,2.003484,-1.282761,-23.05306,1.896061,-9.899787,91.88596,43.1335938014556
5,27,360,-0.4040399,-2.667448,9.895385,1.991018,-0.7900993,-23.2125,1.795971,-10.00332,90.72417,43.1835935898536
